Channel,Others(1-30Hz)_Avg_Power,Low_Gamma(30-60Hz)_Avg_Power,Mid_Gamma(60-90Hz)_Avg_Power,High_Gamma(90-300Hz)_Avg_Power
Ch.1,3000.0042,43.2086,3.389677,209.53778
Ch.10,2963.2795,41.5887,3.3699915,210.39574
Ch.2,2999.9321,43.210297,3.3997157,209.60791
Ch.3,2999.0557,43.188145,3.4140408,209.53787
Ch.4,2999.0254,43.203335,3.4185965,209.60345
Ch.5,2851.7988,40.323044,3.341601,195.32106
Ch.6,2851.893,40.340187,3.3493075,195.40788
Ch.7,2864.6199,41.303562,3.358185,200.73198
Ch.8,2864.6023,41.314114,3.359904,200.78535
Ch.9,2963.2915,41.587402,3.3657207,210.33969
